odometer_value,year_produced,engine_has_gas,engine_capacity,has_warranty,price_usd,is_exchangeable,number_of_photos,up_counter,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed,transmission_mechanical,color_blue,color_brown,color_green,color_grey,color_orange,color_other,color_red,color_silver,color_violet,color_white,color_yellow,engine_fuel_gasoline,engine_fuel_hybrid,body_type_coupe,body_type_hatchback,body_type_liftback,body_type_limousine,body_type_minibus,body_type_minivan,body_type_pickup,body_type_sedan,body_type_suv,body_type_universal,body_type_van,drivetrain_front,drivetrain_rear,state_new,state_owned,location_region_Витебская обл.,location_region_Гомельская обл.,location_region_Гродненская обл.,location_region_Минская обл.,location_region_Могилевская обл.,man_Alfa Romeo,man_Audi,man_BMW,man_Buick,man_Cadillac,man_Chery,man_Chevrolet,man_Chrysler,man_Citroen,man_Dacia,man_Daewoo,man_Dodge,man_Fiat,man_Ford,man_Geely,man_Great Wall,man_Honda,man_Hyundai,man_Infiniti,man_Iveco,man_Jaguar,man_Jeep,man_Kia,man_LADA,man_Lancia,man_Land Rover,man_Lexus,man_Lifan,man_Lincoln,man_Mazda,man_Mercedes-Benz,man_Mini,man_Mitsubishi,man_Nissan,man_Opel,man_Peugeot,man_Pontiac,man_Porsche,man_Renault,man_Rover,man_Saab,man_Seat,man_Skoda,man_SsangYong,man_Subaru,man_Suzuki,man_Toyota,man_Volkswagen,man_Volvo,man_ВАЗ,man_ГАЗ,man_ЗАЗ,man_Москвич,man_УАЗ,model_encoded,car_age
444444,1999,0,2.0,0,3700.0,0,6,20,0,1,0,0,1,1,0,0,0,1,60,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8075.26498713256,21
299000,1994,1,2.2,0,650.0,0,9,47,0,0,0,0,0,1,0,0,1,0,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4727.090930296356,26
340000,1993,0,1.6,0,2000.0,1,4,5,0,0,0,0,0,0,0,0,0,1,91,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6819.914977729431,27
123456,1991,0,2.2,0,800.0,0,6,16,0,0,0,0,0,0,0,0,1,1,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4727.090930296356,29
118000,2011,0,2.5,0,14950.0,1,26,132,1,0,0,0,0,0,0,0,0,0,174,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6819.914977729431,9
246113,2008,0,1.5,0,5350.0,0,13,11,0,1,1,1,0,1,1,1,0,1,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6819.914977729431,12
128748,2016,0,3.6,0,17059.12,0,24,11,0,1,0,1,1,1,1,1,1,1,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8583.322971973123,4
100000,1994,0,2.0,0,1700.0,1,6,42,0,0,0,1,0,0,0,0,0,1,91,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4727.090930296356,26
342790,1999,0,2.5,0,3500.0,1,14,40,1,0,0,0,0,0,0,0,0,0,70,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8583.322971973123,21
390000,1997,0,2.0,0,3000.0,1,8,28,0,1,0,0,0,0,0,0,0,1,46,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8075.26498713256,23
